MCA_Name,121.78,443.96,867.38,964.06,1085.84,1112.08,1212.95,1408.01
Eu_Ures,True,False,False,True,False,True,False,True
Eu_Papir,True,False,False,True,False,True,False,True
Eu_Viz,False,False,False,True,False,True,False,True
Eu_Fem,False,True,True,True,True,True,False,True
